sim_type,regrowth,klepts,foragers,variable,value,value_cut
facultative,0.001,0.016,0.011,pc_intake_forager,0.00567612377066568,"(0,0.01]"
facultative,0.001,0.012,0.005,pc_intake_forager,0.00409161248580701,"(0,0.01]"
facultative,0.001,0.013,0.014,pc_intake_forager,0.00106178105216147,"(0,0.01]"
facultative,0.001,0.013,0.015,pc_intake_forager,0.00100971916719061,"(0,0.01]"
facultative,0.001,0.012,0.013,pc_intake_forager,0.000836377418566672,"(0,0.01]"
facultative,0.001,0.015,0.006,pc_intake_forager,0.00539181951420628,"(0,0.01]"
facultative,0.001,0.017,0.006,pc_intake_forager,0.00614737878087393,"(0,0.01]"
facultative,0.001,0.005,0.003,pc_intake_forager,0,
facultative,0.001,0.016,0.009,pc_intake_forager,0.00293917922134596,"(0,0.01]"
facultative,0.001,0.012,0.015,pc_intake_forager,0.00411174813208388,"(0,0.01]"
facultative,0.001,0.014,0.007,pc_intake_forager,0.00649423011456337,"(0,0.01]"
facultative,0.001,0.016,0.008,pc_intake_forager,0.0070700823622682,"(0,0.01]"
facultative,0.001,0.013,0.004,pc_intake_forager,0.00394467145369673,"(0,0.01]"
facultative,0.001,0.007,0.018,pc_intake_forager,0.00112752191137906,"(0,0.01]"
facultative,0.001,0.014,0.008,pc_intake_forager,0.00666976017837995,"(0,0.01]"
facultative,0.001,0.008,0.003,pc_intake_forager,0.00540286586798215,"(0,0.01]"
facultative,0.001,0.002,0.012,pc_intake_forager,0.000502354354311081,"(0,0.01]"
facultative,0.001,0.008,0.025,pc_intake_forager,0.0035173796230217,"(0,0.01]"
facultative,0.001,0.002,0.008,pc_intake_forager,0.000382950117450691,"(0,0.01]"
facultative,0.001,0.003,0.007,pc_intake_forager,0.000211923109318252,"(0,0.01]"
facultative,0.001,0.013,0.016,pc_intake_forager,0.00111164950136974,"(0,0.01]"
facultative,0.001,0.009,0.017,pc_intake_forager,0.00124380127669601,"(0,0.01]"
facultative,0.001,0.003,0.006,pc_intake_forager,0.000242883714750722,"(0,0.01]"
facultative,0.001,0.003,0.018,pc_intake_forager,0.000998492480958875,"(0,0.01]"
